month,days,mean_daily_consumption_kwh,median_daily_consumption_kwh,mean_daily_p95_kwh,median_premise_count,consumption_mom_pct,premise_count_mom_pct
2022-07,31,11268.688306451613,11120.7,15388.65629032258,9424.0,,
2022-08,31,10976.257258064516,10833.15,15039.284193548387,9429.0,-2.5857185249130055,0.05305602716467739
2022-09,30,8234.003055555555,8184.775,11234.855666666666,9430.0,-24.446952179190728,0.010605578534317317
2022-10,31,7213.266397849462,7130.15,9522.35758064516,9429.0,-12.885204541358808,-0.01060445387062181
2022-11,30,7893.166527777778,7875.450000000001,10455.274,9430.0,10.452795523235858,0.010605578534317317
2022-12,31,11347.787634408603,12791.95,14132.23935483871,10674.0,62.42817870724846,13.191940615058328
2023-01,31,14672.657123655914,15534.3,17541.145322580644,11216.0,21.438091924999704,5.077759040659546
2023-02,28,14938.385119047618,15601.35,17559.1875,11270.0,0.4316254997006608,0.48145506419401407
2023-03,31,14367.104032258063,15317.599999999999,16710.26306451613,11272.0,-1.8187528643354711,0.017746228926363017
2023-04,30,13032.659444444444,13890.8,15349.5255,11273.0,-9.314775160599565,0.008871540099364417
2023-05,31,12581.42809139785,13158.800000000001,15182.96935483871,11261.0,-5.269674892734743,-0.10644903752328183
2023-06,30,14455.538750000002,14475.375,18422.517833333335,11243.0,10.005281636623398,-0.15984370837403006
