fsa,year,observations,peak_hours,peak_rate_pct
L4T,2022,8760,370,4.223744292237443
L4T,2023,8760,166,1.8949771689497716
L4T,2024,8784,245,2.7891621129326047
L4T,2025,8760,381,4.3493150684931505
M5R,2022,8760,317,3.6187214611872145
M5R,2023,8760,172,1.9634703196347032
M5R,2024,8784,147,1.673497267759563
M5R,2025,8760,600,6.8493150684931505
M5S,2022,8760,357,4.075342465753424
M5S,2023,8760,138,1.5753424657534247
M5S,2024,8784,119,1.354735883424408
M5S,2025,8760,506,5.776255707762557
M6G,2022,8760,344,3.9269406392694064
M6G,2023,8760,487,5.559360730593607
M6G,2024,8784,319,3.6316029143898
M6G,2025,8760,828,9.452054794520548
M9R,2022,8760,320,3.65296803652968
M9R,2023,8760,296,3.3789954337899544
M9R,2024,8784,354,4.030054644808743
M9R,2025,8760,532,6.073059360730594
M9W,2022,8760,564,6.438356164383562
M9W,2023,8760,4498,51.34703196347032
M9W,2024,8784,926,10.541894353369763
M9W,2025,8760,798,9.10958904109589
