fsa,year,season,observations,peak_hours,peak_rate_pct
L4T,2022,Fall,2184,133,6.089743589743589
L4T,2022,Spring,2208,59,2.6721014492753623
L4T,2022,Summer,2208,42,1.9021739130434785
L4T,2022,Winter,2160,136,6.296296296296296
L4T,2023,Fall,2184,122,5.586080586080587
L4T,2023,Spring,2208,23,1.0416666666666665
L4T,2023,Summer,2208,8,0.36231884057971014
L4T,2023,Winter,2160,13,0.6018518518518519
L4T,2024,Fall,2184,100,4.5787545787545785
L4T,2024,Spring,2208,50,2.2644927536231885
L4T,2024,Summer,2208,48,2.1739130434782608
L4T,2024,Winter,2184,47,2.152014652014652
L4T,2025,Fall,2184,25,1.1446886446886446
L4T,2025,Spring,2208,30,1.358695652173913
L4T,2025,Summer,2208,216,9.782608695652174
L4T,2025,Winter,2160,110,5.092592592592593
M5R,2022,Fall,2184,96,4.395604395604396
M5R,2022,Spring,2208,79,3.5778985507246377
M5R,2022,Summer,2208,38,1.7210144927536233
M5R,2022,Winter,2160,104,4.814814814814815
M5R,2023,Fall,2184,115,5.2655677655677655
M5R,2023,Spring,2208,32,1.4492753623188406
M5R,2023,Summer,2208,15,0.6793478260869565
M5R,2023,Winter,2160,10,0.4629629629629629
M5R,2024,Fall,2184,20,0.9157509157509158
M5R,2024,Spring,2208,26,1.177536231884058
M5R,2024,Summer,2208,68,3.0797101449275366
M5R,2024,Winter,2184,33,1.510989010989011
M5R,2025,Fall,2184,46,2.1062271062271063
M5R,2025,Spring,2208,67,3.0344202898550723
M5R,2025,Summer,2208,227,10.280797101449275
M5R,2025,Winter,2160,260,12.037037037037036
M5S,2022,Fall,2184,92,4.212454212454213
M5S,2022,Spring,2208,104,4.710144927536232
M5S,2022,Summer,2208,45,2.0380434782608696
M5S,2022,Winter,2160,116,5.37037037037037
M5S,2023,Fall,2184,81,3.708791208791209
M5S,2023,Spring,2208,34,1.5398550724637683
M5S,2023,Summer,2208,11,0.4981884057971014
M5S,2023,Winter,2160,12,0.5555555555555556
M5S,2024,Fall,2184,18,0.8241758241758242
M5S,2024,Spring,2208,19,0.8605072463768116
M5S,2024,Summer,2208,59,2.6721014492753623
M5S,2024,Winter,2184,23,1.0531135531135531
M5S,2025,Fall,2184,42,1.9230769230769231
M5S,2025,Spring,2208,58,2.6268115942028984
M5S,2025,Summer,2208,196,8.876811594202898
M5S,2025,Winter,2160,210,9.722222222222223
M6G,2022,Fall,2184,112,5.128205128205128
M6G,2022,Spring,2208,75,3.3967391304347823
M6G,2022,Summer,2208,42,1.9021739130434785
M6G,2022,Winter,2160,115,5.324074074074074
M6G,2023,Fall,2184,226,10.347985347985347
M6G,2023,Spring,2208,131,5.932971014492754
M6G,2023,Summer,2208,69,3.125
M6G,2023,Winter,2160,61,2.824074074074074
M6G,2024,Fall,2184,76,3.47985347985348
M6G,2024,Spring,2208,60,2.717391304347826
M6G,2024,Summer,2208,118,5.344202898550725
M6G,2024,Winter,2184,65,2.976190476190476
M6G,2025,Fall,2184,86,3.9377289377289375
M6G,2025,Spring,2208,124,5.615942028985507
M6G,2025,Summer,2208,341,15.443840579710145
M6G,2025,Winter,2160,277,12.824074074074074
M9R,2022,Fall,2184,107,4.8992673992674
M9R,2022,Spring,2208,43,1.947463768115942
M9R,2022,Summer,2208,37,1.6757246376811596
M9R,2022,Winter,2160,133,6.157407407407407
M9R,2023,Fall,2184,147,6.730769230769231
M9R,2023,Spring,2208,71,3.2155797101449273
M9R,2023,Summer,2208,19,0.8605072463768116
M9R,2023,Winter,2160,59,2.7314814814814814
M9R,2024,Fall,2184,96,4.395604395604396
M9R,2024,Spring,2208,71,3.2155797101449273
M9R,2024,Summer,2208,80,3.6231884057971016
M9R,2024,Winter,2184,107,4.8992673992674
M9R,2025,Fall,2184,34,1.5567765567765568
M9R,2025,Spring,2208,58,2.6268115942028984
M9R,2025,Summer,2208,225,10.190217391304348
M9R,2025,Winter,2160,215,9.953703703703704
M9W,2022,Fall,2184,130,5.952380952380952
M9W,2022,Spring,2208,55,2.4909420289855073
M9W,2022,Summer,2208,41,1.8568840579710144
M9W,2022,Winter,2160,338,15.648148148148147
M9W,2023,Fall,2184,1462,66.94139194139194
M9W,2023,Spring,2208,1493,67.6177536231884
M9W,2023,Summer,2208,452,20.47101449275362
M9W,2023,Winter,2160,1091,50.50925925925925
M9W,2024,Fall,2184,139,6.364468864468864
M9W,2024,Spring,2208,161,7.291666666666667
M9W,2024,Summer,2208,340,15.39855072463768
M9W,2024,Winter,2184,286,13.095238095238097
M9W,2025,Fall,2184,81,3.708791208791209
M9W,2025,Spring,2208,87,3.940217391304348
M9W,2025,Summer,2208,343,15.534420289855072
M9W,2025,Winter,2160,287,13.287037037037036
