fsa,year,mean,median,minimum,maximum
L4T,2021,8640.013926940639,8641.0,8457,8653
L4T,2022,8616.03904109589,8614.0,8451,8632
L4T,2023,8587.59086757991,8591.0,8447,8604
L4T,2024,8566.142076502732,8580.0,8428,8600
L4T,2025,8564.55399543379,8571.0,8472,8579
M5R,2021,9308.172602739725,9308.0,9284,9324
M5R,2022,9331.796575342465,9328.0,9315,9406
M5R,2023,9391.759703196347,9383.0,9362,9427
M5R,2024,9381.943533697631,9393.0,8951,9421
M5R,2025,9454.277739726027,9414.0,8695,9984
M5S,2021,5924.676712328767,5925.0,5919,5929
M5S,2022,5920.6907534246575,5922.0,5909,5928
M5S,2023,5899.829794520548,5902.0,5861,5929
M5S,2024,5915.317395264116,5936.0,5848,5946
M5S,2025,5961.284703196347,5939.0,5803,6224
M6G,2021,11733.810730593606,11707.0,11686,11786
M6G,2022,11737.366894977169,11746.0,11674,12062
M6G,2023,12042.595662100457,12046.0,11956,12097
M6G,2024,11989.969489981786,11994.0,11538,12059
M6G,2025,12034.726598173516,12017.0,11449,12120
M9R,2021,5942.483561643836,5943.0,5863,5948
M9R,2022,5948.081963470319,5944.0,5849,6062
M9R,2023,6050.208904109589,6048.0,5983,6066
M9R,2024,6030.727459016393,6032.0,5943,6062
M9R,2025,6028.511073059361,6038.0,5924,6062
M9W,2021,9319.00901826484,9323.0,9157,9345
M9W,2022,9476.428881278538,9429.0,9172,10676
M9W,2023,11240.162671232876,11245.0,10678,11276
M9W,2024,11172.234631147541,11193.0,10900,11291
M9W,2025,11211.357648401827,11216.0,11058,11250
