fsa,forecast_origin,horizon_hours,target_timestamp,target_matrix_value,source_value,match
L4T,2021-01-01 00:00:00,1,2021-01-01 01:00:00,9585.099999999999,9585.099999999999,True
L4T,2021-01-01 00:00:00,2,2021-01-01 02:00:00,9015.5,9015.5,True
L4T,2021-01-01 00:00:00,24,2021-01-02 00:00:00,9630.6,9630.6,True
L4T,2021-01-01 01:00:00,1,2021-01-01 02:00:00,9015.5,9015.5,True
L4T,2021-01-01 01:00:00,2,2021-01-01 03:00:00,8593.099999999999,8593.099999999999,True
L4T,2021-01-01 01:00:00,24,2021-01-02 01:00:00,8984.5,8984.5,True
L4T,2021-01-01 02:00:00,1,2021-01-01 03:00:00,8593.099999999999,8593.099999999999,True
L4T,2021-01-01 02:00:00,2,2021-01-01 04:00:00,8353.5,8353.5,True
L4T,2021-01-01 02:00:00,24,2021-01-02 02:00:00,8434.699999999999,8434.699999999999,True
M5R,2021-01-01 00:00:00,1,2021-01-01 01:00:00,7124.9,7124.9,True
M5R,2021-01-01 00:00:00,2,2021-01-01 02:00:00,6709.400000000001,6709.400000000001,True
M5R,2021-01-01 00:00:00,24,2021-01-02 00:00:00,7029.599999999999,7029.599999999999,True
M5R,2021-01-01 01:00:00,1,2021-01-01 02:00:00,6709.400000000001,6709.400000000001,True
M5R,2021-01-01 01:00:00,2,2021-01-01 03:00:00,6411.6,6411.6,True
M5R,2021-01-01 01:00:00,24,2021-01-02 01:00:00,6503.6,6503.6,True
M5R,2021-01-01 02:00:00,1,2021-01-01 03:00:00,6411.6,6411.6,True
M5R,2021-01-01 02:00:00,2,2021-01-01 04:00:00,6210.2,6210.2,True
M5R,2021-01-01 02:00:00,24,2021-01-02 02:00:00,6244.2,6244.2,True
M5S,2021-01-01 00:00:00,1,2021-01-01 01:00:00,3868.7999999999997,3868.7999999999997,True
M5S,2021-01-01 00:00:00,2,2021-01-01 02:00:00,3652.6,3652.6,True
M5S,2021-01-01 00:00:00,24,2021-01-02 00:00:00,4007.2000000000003,4007.2000000000003,True
M5S,2021-01-01 01:00:00,1,2021-01-01 02:00:00,3652.6,3652.6,True
M5S,2021-01-01 01:00:00,2,2021-01-01 03:00:00,3538.7000000000003,3538.7000000000003,True
M5S,2021-01-01 01:00:00,24,2021-01-02 01:00:00,3711.8,3711.8,True
M5S,2021-01-01 02:00:00,1,2021-01-01 03:00:00,3538.7000000000003,3538.7000000000003,True
M5S,2021-01-01 02:00:00,2,2021-01-01 04:00:00,3417.8,3417.8,True
M5S,2021-01-01 02:00:00,24,2021-01-02 02:00:00,3499.3999999999996,3499.3999999999996,True
M6G,2021-01-01 00:00:00,1,2021-01-01 01:00:00,10115.9,10115.9,True
M6G,2021-01-01 00:00:00,2,2021-01-01 02:00:00,9465.0,9465.0,True
M6G,2021-01-01 00:00:00,24,2021-01-02 00:00:00,10115.699999999999,10115.699999999999,True
M6G,2021-01-01 01:00:00,1,2021-01-01 02:00:00,9465.0,9465.0,True
M6G,2021-01-01 01:00:00,2,2021-01-01 03:00:00,8938.0,8938.0,True
M6G,2021-01-01 01:00:00,24,2021-01-02 01:00:00,9235.1,9235.1,True
M6G,2021-01-01 02:00:00,1,2021-01-01 03:00:00,8938.0,8938.0,True
M6G,2021-01-01 02:00:00,2,2021-01-01 04:00:00,8612.7,8612.7,True
M6G,2021-01-01 02:00:00,24,2021-01-02 02:00:00,8684.7,8684.7,True
M9R,2021-01-01 00:00:00,1,2021-01-01 01:00:00,4501.099999999999,4501.099999999999,True
M9R,2021-01-01 00:00:00,2,2021-01-01 02:00:00,4088.7,4088.7,True
M9R,2021-01-01 00:00:00,24,2021-01-02 00:00:00,4457.500000000001,4457.500000000001,True
M9R,2021-01-01 01:00:00,1,2021-01-01 02:00:00,4088.7,4088.7,True
M9R,2021-01-01 01:00:00,2,2021-01-01 03:00:00,3830.2,3830.2,True
M9R,2021-01-01 01:00:00,24,2021-01-02 01:00:00,3972.9999999999995,3972.9999999999995,True
M9R,2021-01-01 02:00:00,1,2021-01-01 03:00:00,3830.2,3830.2,True
M9R,2021-01-01 02:00:00,2,2021-01-01 04:00:00,3663.6,3663.6,True
M9R,2021-01-01 02:00:00,24,2021-01-02 02:00:00,3656.2999999999997,3656.2999999999997,True
M9W,2021-01-01 00:00:00,1,2021-01-01 01:00:00,7759.599999999999,7759.599999999999,True
M9W,2021-01-01 00:00:00,2,2021-01-01 02:00:00,7088.900000000001,7088.900000000001,True
M9W,2021-01-01 00:00:00,24,2021-01-02 00:00:00,7681.5,7681.5,True
M9W,2021-01-01 01:00:00,1,2021-01-01 02:00:00,7088.900000000001,7088.900000000001,True
M9W,2021-01-01 01:00:00,2,2021-01-01 03:00:00,6641.599999999999,6641.599999999999,True
M9W,2021-01-01 01:00:00,24,2021-01-02 01:00:00,6960.7,6960.7,True
M9W,2021-01-01 02:00:00,1,2021-01-01 03:00:00,6641.599999999999,6641.599999999999,True
M9W,2021-01-01 02:00:00,2,2021-01-01 04:00:00,6428.0,6428.0,True
M9W,2021-01-01 02:00:00,24,2021-01-02 02:00:00,6408.9,6408.9,True
