fsa,forecast_origin,target_timestamp,horizon,scenario,temperature_delta_c,baseline_temperature_c,origin__Temp (°C),temperature_domain_status,peak_risk_score,baseline_peak_risk_score,peak_risk_delta,peak_alert,baseline_peak_alert,alert_changed,alert_transition
L4T,2026-03-25 23:00:00,2026-03-26 18:00:00,19,+5C,5.0,2.7,7.7,NORMAL,0.02909588,0.13483499,-0.10573911,False,True,True,Alert -> No Alert
L4T,2026-03-25 23:00:00,2026-03-26 19:00:00,20,+5C,5.0,2.7,7.7,NORMAL,0.04779632,0.19869481,-0.15089849,False,True,True,Alert -> No Alert
L4T,2026-03-25 23:00:00,2026-03-26 20:00:00,21,+5C,5.0,2.7,7.7,NORMAL,0.017194517,0.09968124,-0.08248673,False,True,True,Alert -> No Alert
M5R,2026-03-25 23:00:00,2026-03-26 15:00:00,16,+2.5C,2.5,4.3,6.8,NORMAL,0.035834547,0.15565006,-0.11981551,False,True,True,Alert -> No Alert
M5R,2026-03-25 23:00:00,2026-03-26 16:00:00,17,+2.5C,2.5,4.3,6.8,NORMAL,0.051844575,0.33131853,-0.27947396,False,True,True,Alert -> No Alert
M5R,2026-03-25 23:00:00,2026-03-26 15:00:00,16,+5C,5.0,4.3,9.3,NORMAL,0.034186535,0.15565006,-0.12146353,False,True,True,Alert -> No Alert
M5R,2026-03-25 23:00:00,2026-03-26 16:00:00,17,+5C,5.0,4.3,9.3,NORMAL,0.039048195,0.33131853,-0.29227033,False,True,True,Alert -> No Alert
M5R,2026-03-25 23:00:00,2026-03-26 22:00:00,23,+5C,5.0,4.3,9.3,NORMAL,0.030430391,0.18719587,-0.15676548,False,True,True,Alert -> No Alert
M5R,2026-03-25 23:00:00,2026-03-26 12:00:00,13,-2.5C,-2.5,4.3,1.7999999999999998,NORMAL,0.13021693,0.05204273,0.078174196,True,False,True,No Alert -> Alert
M5R,2026-03-25 23:00:00,2026-03-26 13:00:00,14,-2.5C,-2.5,4.3,1.7999999999999998,NORMAL,0.082795694,0.053507145,0.029288549,True,False,True,No Alert -> Alert
M5R,2026-03-25 23:00:00,2026-03-26 14:00:00,15,-2.5C,-2.5,4.3,1.7999999999999998,NORMAL,0.0992667,0.04362355,0.05564315,True,False,True,No Alert -> Alert
M5R,2026-03-25 23:00:00,2026-03-26 11:00:00,12,-5C,-5.0,4.3,-0.7000000000000002,NORMAL,0.09942984,0.020829475,0.07860036,True,False,True,No Alert -> Alert
M5R,2026-03-25 23:00:00,2026-03-26 12:00:00,13,-5C,-5.0,4.3,-0.7000000000000002,NORMAL,0.20374075,0.05204273,0.15169802,True,False,True,No Alert -> Alert
M5R,2026-03-25 23:00:00,2026-03-26 13:00:00,14,-5C,-5.0,4.3,-0.7000000000000002,NORMAL,0.20563959,0.053507145,0.15213244,True,False,True,No Alert -> Alert
M5R,2026-03-25 23:00:00,2026-03-26 14:00:00,15,-5C,-5.0,4.3,-0.7000000000000002,NORMAL,0.18727143,0.04362355,0.14364788,True,False,True,No Alert -> Alert
M5S,2026-03-25 23:00:00,2026-03-26 15:00:00,16,+2.5C,2.5,4.3,6.8,NORMAL,0.046586145,0.1889434,-0.14235726,False,True,True,Alert -> No Alert
M5S,2026-03-25 23:00:00,2026-03-26 15:00:00,16,+5C,5.0,4.3,9.3,NORMAL,0.04446648,0.1889434,-0.14447692,False,True,True,Alert -> No Alert
M5S,2026-03-25 23:00:00,2026-03-26 12:00:00,13,-2.5C,-2.5,4.3,1.7999999999999998,NORMAL,0.11902021,0.047163077,0.07185713,True,False,True,No Alert -> Alert
