fsa,horizon,magnitude_c,metric,symmetry_residual
L4T,1,2.5,forecast_delta_kwh,-10.216982738176739
L4T,2,2.5,forecast_delta_kwh,61.861721816587306
L4T,3,2.5,forecast_delta_kwh,91.32070631256101
L4T,4,2.5,forecast_delta_kwh,91.8824861853409
L4T,5,2.5,forecast_delta_kwh,148.3313879302841
L4T,6,2.5,forecast_delta_kwh,133.38755004472114
L4T,7,2.5,forecast_delta_kwh,5.029558632544649
L4T,8,2.5,forecast_delta_kwh,-23.261384931252906
L4T,9,2.5,forecast_delta_kwh,70.08648995411022
L4T,10,2.5,forecast_delta_kwh,-42.72867224921356
L4T,11,2.5,forecast_delta_kwh,57.933961878219634
L4T,12,2.5,forecast_delta_kwh,53.21642248804892
L4T,13,2.5,forecast_delta_kwh,122.89076419673984
L4T,14,2.5,forecast_delta_kwh,10.907199859055254
L4T,15,2.5,forecast_delta_kwh,62.096715471869175
L4T,16,2.5,forecast_delta_kwh,23.818007237146958
L4T,17,2.5,forecast_delta_kwh,38.122301822308145
L4T,18,2.5,forecast_delta_kwh,16.07429905531899
L4T,19,2.5,forecast_delta_kwh,82.37930013303048
L4T,20,2.5,forecast_delta_kwh,7.7197940657188155
L4T,21,2.5,forecast_delta_kwh,57.43129679684171
L4T,22,2.5,forecast_delta_kwh,-2.3673537493941694
L4T,23,2.5,forecast_delta_kwh,5.461060437215565
L4T,24,2.5,forecast_delta_kwh,17.922082670374948
M5R,1,2.5,forecast_delta_kwh,117.93934840697693
M5R,2,2.5,forecast_delta_kwh,88.47331641956771
M5R,3,2.5,forecast_delta_kwh,93.12909916773242
M5R,4,2.5,forecast_delta_kwh,91.36805960737729
M5R,5,2.5,forecast_delta_kwh,154.2660595387788
M5R,6,2.5,forecast_delta_kwh,90.84167881307076
M5R,7,2.5,forecast_delta_kwh,80.25021597247905
M5R,8,2.5,forecast_delta_kwh,151.70190763439496
M5R,9,2.5,forecast_delta_kwh,25.684696654938307
M5R,10,2.5,forecast_delta_kwh,33.677565519807104
M5R,11,2.5,forecast_delta_kwh,154.1215341088864
M5R,12,2.5,forecast_delta_kwh,130.51596211186552
M5R,13,2.5,forecast_delta_kwh,-37.966623036681995
M5R,14,2.5,forecast_delta_kwh,23.10251896540649
M5R,15,2.5,forecast_delta_kwh,87.68666779002706
M5R,16,2.5,forecast_delta_kwh,99.32491562864016
M5R,17,2.5,forecast_delta_kwh,-4.699466835503699
M5R,18,2.5,forecast_delta_kwh,-9.553121416778595
M5R,19,2.5,forecast_delta_kwh,23.46633473404836
M5R,20,2.5,forecast_delta_kwh,24.42552902393072
M5R,21,2.5,forecast_delta_kwh,13.979721275252814
M5R,22,2.5,forecast_delta_kwh,12.21805752387263
M5R,23,2.5,forecast_delta_kwh,-87.8457525287231
M5R,24,2.5,forecast_delta_kwh,-28.747904752364775
M5S,1,2.5,forecast_delta_kwh,0.03295840066857636
M5S,2,2.5,forecast_delta_kwh,2.677547892212715
M5S,3,2.5,forecast_delta_kwh,30.528863698443274
M5S,4,2.5,forecast_delta_kwh,139.41944952058384
M5S,5,2.5,forecast_delta_kwh,35.84081184241677
M5S,6,2.5,forecast_delta_kwh,-22.95934391145056
M5S,7,2.5,forecast_delta_kwh,-18.75886257140519
M5S,8,2.5,forecast_delta_kwh,-1.4170030929544737
M5S,9,2.5,forecast_delta_kwh,-0.9219540807962403
M5S,10,2.5,forecast_delta_kwh,9.229978203426072
M5S,11,2.5,forecast_delta_kwh,-4.661257051871871
M5S,12,2.5,forecast_delta_kwh,6.6923979880411935
M5S,13,2.5,forecast_delta_kwh,-5.3107777838913535
M5S,14,2.5,forecast_delta_kwh,-22.802124399701825
M5S,15,2.5,forecast_delta_kwh,-4.796762356770159
M5S,16,2.5,forecast_delta_kwh,-4.324865401958959
M5S,17,2.5,forecast_delta_kwh,-8.66809483250654
M5S,18,2.5,forecast_delta_kwh,7.324740444862073
M5S,19,2.5,forecast_delta_kwh,-3.176476271127285
M5S,20,2.5,forecast_delta_kwh,17.302173206132466
M5S,21,2.5,forecast_delta_kwh,5.239370066106858
M5S,22,2.5,forecast_delta_kwh,28.250832311025988
M5S,23,2.5,forecast_delta_kwh,41.38813515543734
M5S,24,2.5,forecast_delta_kwh,14.450705036420914
M6G,1,2.5,forecast_delta_kwh,21.799118421280582
M6G,2,2.5,forecast_delta_kwh,99.90590685045026
M6G,3,2.5,forecast_delta_kwh,10.641930238185523
M6G,4,2.5,forecast_delta_kwh,137.02637605353812
M6G,5,2.5,forecast_delta_kwh,158.38072404632658
M6G,6,2.5,forecast_delta_kwh,108.09305943855907
M6G,7,2.5,forecast_delta_kwh,168.47376867343883
M6G,8,2.5,forecast_delta_kwh,145.0058355090041
M6G,9,2.5,forecast_delta_kwh,87.71314320179772
M6G,10,2.5,forecast_delta_kwh,34.50824196085523
M6G,11,2.5,forecast_delta_kwh,49.09889623399249
M6G,12,2.5,forecast_delta_kwh,24.04028509332602
M6G,13,2.5,forecast_delta_kwh,20.89598421543633
M6G,14,2.5,forecast_delta_kwh,519.8892495217169
M6G,15,2.5,forecast_delta_kwh,20.541085172690146
M6G,16,2.5,forecast_delta_kwh,18.076216350746108
M6G,17,2.5,forecast_delta_kwh,23.815291319937387
M6G,18,2.5,forecast_delta_kwh,38.213738420299705
M6G,19,2.5,forecast_delta_kwh,45.542253288571374
M6G,20,2.5,forecast_delta_kwh,105.16009692927037
M6G,21,2.5,forecast_delta_kwh,59.67758758372838
M6G,22,2.5,forecast_delta_kwh,35.44207971555261
M6G,23,2.5,forecast_delta_kwh,11.563409158547074
M6G,24,2.5,forecast_delta_kwh,20.560121472277388
M9R,1,2.5,forecast_delta_kwh,35.19757314994149
M9R,2,2.5,forecast_delta_kwh,-1.3486182591059332
M9R,3,2.5,forecast_delta_kwh,-56.49123190284445
M9R,4,2.5,forecast_delta_kwh,-2.5994472620322995
M9R,5,2.5,forecast_delta_kwh,39.67909420435444
M9R,6,2.5,forecast_delta_kwh,49.516781885608
M9R,7,2.5,forecast_delta_kwh,-9.86680235818676
M9R,8,2.5,forecast_delta_kwh,-20.53045713660231
M9R,9,2.5,forecast_delta_kwh,29.563406111606128
M9R,10,2.5,forecast_delta_kwh,54.69290515657485
M9R,11,2.5,forecast_delta_kwh,9.07894272487647
M9R,12,2.5,forecast_delta_kwh,25.93702782455148
M9R,13,2.5,forecast_delta_kwh,2.579531929633049
M9R,14,2.5,forecast_delta_kwh,14.490412712900252
M9R,15,2.5,forecast_delta_kwh,11.710275967544476
M9R,16,2.5,forecast_delta_kwh,-0.578796791748573
M9R,17,2.5,forecast_delta_kwh,-19.919762490980247
M9R,18,2.5,forecast_delta_kwh,6.877784021535263
M9R,19,2.5,forecast_delta_kwh,15.710533263354591
M9R,20,2.5,forecast_delta_kwh,15.532030253090852
M9R,21,2.5,forecast_delta_kwh,15.846507552445473
M9R,22,2.5,forecast_delta_kwh,-3.288878000472323
M9R,23,2.5,forecast_delta_kwh,-18.7918382268781
M9R,24,2.5,forecast_delta_kwh,11.217086966139505
M9W,1,2.5,forecast_delta_kwh,85.4262265916841
M9W,2,2.5,forecast_delta_kwh,238.19230125751528
M9W,3,2.5,forecast_delta_kwh,288.3953133830073
M9W,4,2.5,forecast_delta_kwh,137.80016802158025
M9W,5,2.5,forecast_delta_kwh,71.23933392547951
M9W,6,2.5,forecast_delta_kwh,139.29515912146599
M9W,7,2.5,forecast_delta_kwh,-22.48891526125226
M9W,8,2.5,forecast_delta_kwh,13.810078362679633
M9W,9,2.5,forecast_delta_kwh,112.90824032350429
M9W,10,2.5,forecast_delta_kwh,157.5448159537209
M9W,11,2.5,forecast_delta_kwh,41.44932909074487
M9W,12,2.5,forecast_delta_kwh,54.3013614641186
M9W,13,2.5,forecast_delta_kwh,97.7007009792651
M9W,14,2.5,forecast_delta_kwh,-34.81677876055437
M9W,15,2.5,forecast_delta_kwh,135.17641367776923
M9W,16,2.5,forecast_delta_kwh,181.97645943274983
M9W,17,2.5,forecast_delta_kwh,-18.801603875137516
M9W,18,2.5,forecast_delta_kwh,-61.78254484917488
M9W,19,2.5,forecast_delta_kwh,-88.6729266926177
M9W,20,2.5,forecast_delta_kwh,-113.06173418844628
M9W,21,2.5,forecast_delta_kwh,-76.82707682226828
M9W,22,2.5,forecast_delta_kwh,15.041711390173077
M9W,23,2.5,forecast_delta_kwh,0.20369715404740418
M9W,24,2.5,forecast_delta_kwh,13.139711542798977
L4T,1,2.5,peak_risk_delta,1.2890275684185326e-05
L4T,2,2.5,peak_risk_delta,-4.60135743196588e-06
L4T,3,2.5,peak_risk_delta,-6.453685273299925e-06
L4T,4,2.5,peak_risk_delta,3.3978776627918705e-06
L4T,5,2.5,peak_risk_delta,-3.266427665948868e-05
L4T,6,2.5,peak_risk_delta,6.158392352517694e-05
L4T,7,2.5,peak_risk_delta,5.270658220979385e-05
L4T,8,2.5,peak_risk_delta,4.0305156289832667e-05
L4T,9,2.5,peak_risk_delta,4.181744952802546e-05
L4T,10,2.5,peak_risk_delta,4.01094148401171e-05
L4T,11,2.5,peak_risk_delta,-6.839490379206836e-05
L4T,12,2.5,peak_risk_delta,1.5635916497558355e-05
L4T,13,2.5,peak_risk_delta,4.076655022799969e-05
L4T,14,2.5,peak_risk_delta,0.0003577019670046866
L4T,15,2.5,peak_risk_delta,-0.0007370614912360907
L4T,16,2.5,peak_risk_delta,-0.002440251410007477
L4T,17,2.5,peak_risk_delta,-0.0037031732499599457
L4T,18,2.5,peak_risk_delta,-0.017752066254615784
L4T,19,2.5,peak_risk_delta,-0.04765801876783371
L4T,20,2.5,peak_risk_delta,-0.04108591377735138
L4T,21,2.5,peak_risk_delta,0.03148069232702255
L4T,22,2.5,peak_risk_delta,-0.0005867406725883484
L4T,23,2.5,peak_risk_delta,0.002442267257720232
L4T,24,2.5,peak_risk_delta,0.0014699797611683607
M5R,1,2.5,peak_risk_delta,0.0002765092358458787
M5R,2,2.5,peak_risk_delta,0.0002484688302502036
M5R,3,2.5,peak_risk_delta,0.00030035647796466947
M5R,4,2.5,peak_risk_delta,0.0006580341141670942
M5R,5,2.5,peak_risk_delta,0.0023293085396289825
M5R,6,2.5,peak_risk_delta,0.005775138735771179
M5R,7,2.5,peak_risk_delta,0.006006536073982716
M5R,8,2.5,peak_risk_delta,0.007080504670739174
M5R,9,2.5,peak_risk_delta,0.004648358561098576
M5R,10,2.5,peak_risk_delta,-0.0007227095775306225
M5R,11,2.5,peak_risk_delta,0.007414167746901512
M5R,12,2.5,peak_risk_delta,0.020198866724967957
M5R,13,2.5,peak_risk_delta,0.034375060349702835
M5R,14,2.5,peak_risk_delta,-0.014657318592071533
M5R,15,2.5,peak_risk_delta,0.020458213984966278
M5R,16,2.5,peak_risk_delta,0.08790138363838196
M5R,17,2.5,peak_risk_delta,-0.07619103789329529
M5R,18,2.5,peak_risk_delta,-0.1931568682193756
M5R,19,2.5,peak_risk_delta,-0.14891976118087769
M5R,20,2.5,peak_risk_delta,-0.17976820468902588
M5R,21,2.5,peak_risk_delta,-0.18246620893478394
M5R,22,2.5,peak_risk_delta,-0.056832313537597656
M5R,23,2.5,peak_risk_delta,-0.054800622165203094
M5R,24,2.5,peak_risk_delta,0.0004724673926830292
M5S,1,2.5,peak_risk_delta,0.0011719074100255966
M5S,2,2.5,peak_risk_delta,0.0005383139359764755
M5S,3,2.5,peak_risk_delta,0.00035918416688218713
M5S,4,2.5,peak_risk_delta,0.0008073983481153846
M5S,5,2.5,peak_risk_delta,0.0026237950660288334
M5S,6,2.5,peak_risk_delta,0.002633515978232026
M5S,7,2.5,peak_risk_delta,0.0021313054021447897
M5S,8,2.5,peak_risk_delta,0.005257765296846628
M5S,9,2.5,peak_risk_delta,0.0014806371182203293
M5S,10,2.5,peak_risk_delta,5.403312388807535e-05
M5S,11,2.5,peak_risk_delta,0.008227914571762085
M5S,12,2.5,peak_risk_delta,0.01539598312228918
M5S,13,2.5,peak_risk_delta,0.03153657168149948
M5S,14,2.5,peak_risk_delta,-0.015900660306215286
M5S,15,2.5,peak_risk_delta,0.05630708113312721
M5S,16,2.5,peak_risk_delta,0.13070949912071228
M5S,17,2.5,peak_risk_delta,-0.051635682582855225
M5S,18,2.5,peak_risk_delta,-0.267819344997406
M5S,19,2.5,peak_risk_delta,-0.2071661353111267
M5S,20,2.5,peak_risk_delta,-0.19625717401504517
M5S,21,2.5,peak_risk_delta,-0.1942988634109497
M5S,22,2.5,peak_risk_delta,-0.07159870862960815
M5S,23,2.5,peak_risk_delta,-0.08982037007808685
M5S,24,2.5,peak_risk_delta,-0.006676703691482544
M6G,1,2.5,peak_risk_delta,6.968651723582298e-05
M6G,2,2.5,peak_risk_delta,6.64527906337753e-05
M6G,3,2.5,peak_risk_delta,4.275785249774344e-05
M6G,4,2.5,peak_risk_delta,7.291475048987195e-05
M6G,5,2.5,peak_risk_delta,0.00013932182628195733
M6G,6,2.5,peak_risk_delta,0.0002532143553253263
M6G,7,2.5,peak_risk_delta,0.000297297490760684
M6G,8,2.5,peak_risk_delta,0.00043034899863414466
M6G,9,2.5,peak_risk_delta,0.0004602398257702589
M6G,10,2.5,peak_risk_delta,0.0007760024163872004
M6G,11,2.5,peak_risk_delta,0.0014870301820337772
M6G,12,2.5,peak_risk_delta,0.009571075439453125
M6G,13,2.5,peak_risk_delta,0.007907167077064514
M6G,14,2.5,peak_risk_delta,-0.0019246609881520271
M6G,15,2.5,peak_risk_delta,0.0036361163947731256
M6G,16,2.5,peak_risk_delta,0.05926848575472832
M6G,17,2.5,peak_risk_delta,-0.05596160888671875
M6G,18,2.5,peak_risk_delta,-0.3357155919075012
M6G,19,2.5,peak_risk_delta,-0.12408679723739624
M6G,20,2.5,peak_risk_delta,-0.05074632167816162
M6G,21,2.5,peak_risk_delta,-0.06160551309585571
M6G,22,2.5,peak_risk_delta,0.0340503454208374
M6G,23,2.5,peak_risk_delta,-0.00988710019737482
M6G,24,2.5,peak_risk_delta,-0.00016850000247359276
M9R,1,2.5,peak_risk_delta,3.377538450877182e-05
M9R,2,2.5,peak_risk_delta,-3.1110175768844783e-06
M9R,3,2.5,peak_risk_delta,-9.679060894995928e-06
M9R,4,2.5,peak_risk_delta,-2.5733024813234806e-06
M9R,5,2.5,peak_risk_delta,-4.09922722610645e-05
M9R,6,2.5,peak_risk_delta,0.00011087504390161484
M9R,7,2.5,peak_risk_delta,0.0003271636087447405
M9R,8,2.5,peak_risk_delta,0.00034859118750318885
M9R,9,2.5,peak_risk_delta,0.00026797803002409637
M9R,10,2.5,peak_risk_delta,0.0001896910252980888
M9R,11,2.5,peak_risk_delta,0.00033194859861396253
M9R,12,2.5,peak_risk_delta,-5.154858808964491e-05
M9R,13,2.5,peak_risk_delta,0.0008479596581310034
M9R,14,2.5,peak_risk_delta,0.0010746855987235904
M9R,15,2.5,peak_risk_delta,0.0005627316422760487
M9R,16,2.5,peak_risk_delta,-0.00975816324353218
M9R,17,2.5,peak_risk_delta,-0.06885513663291931
M9R,18,2.5,peak_risk_delta,-0.09024949371814728
M9R,19,2.5,peak_risk_delta,-0.055866748094558716
M9R,20,2.5,peak_risk_delta,0.013940930366516113
M9R,21,2.5,peak_risk_delta,0.0008573234081268311
M9R,22,2.5,peak_risk_delta,0.023813262581825256
M9R,23,2.5,peak_risk_delta,0.006251238286495209
M9R,24,2.5,peak_risk_delta,0.0012422329746186733
M9W,1,2.5,peak_risk_delta,5.278833850752562e-05
M9W,2,2.5,peak_risk_delta,-1.3413591659627855e-05
M9W,3,2.5,peak_risk_delta,-1.179823448183015e-05
M9W,4,2.5,peak_risk_delta,4.566097049973905e-05
M9W,5,2.5,peak_risk_delta,3.4839584259316325e-05
M9W,6,2.5,peak_risk_delta,0.000462113122921437
M9W,7,2.5,peak_risk_delta,0.0016129498835653067
M9W,8,2.5,peak_risk_delta,0.002375795505940914
M9W,9,2.5,peak_risk_delta,0.002763119526207447
M9W,10,2.5,peak_risk_delta,0.03343620151281357
M9W,11,2.5,peak_risk_delta,0.12656554579734802
M9W,12,2.5,peak_risk_delta,0.06569257378578186
M9W,13,2.5,peak_risk_delta,0.21981976926326752
M9W,14,2.5,peak_risk_delta,0.17304667830467224
M9W,15,2.5,peak_risk_delta,-0.04534393548965454
M9W,16,2.5,peak_risk_delta,-0.17999616265296936
M9W,17,2.5,peak_risk_delta,-0.1405799388885498
M9W,18,2.5,peak_risk_delta,-0.06224644184112549
M9W,19,2.5,peak_risk_delta,-0.04690426588058472
M9W,20,2.5,peak_risk_delta,-0.03224915266036987
M9W,21,2.5,peak_risk_delta,0.020656168460845947
M9W,22,2.5,peak_risk_delta,1.959875226020813e-05
M9W,23,2.5,peak_risk_delta,-0.0011698799207806587
M9W,24,2.5,peak_risk_delta,0.00019086699467152357
L4T,1,5.0,forecast_delta_kwh,327.4408439316139
L4T,2,5.0,forecast_delta_kwh,244.34292129700862
L4T,3,5.0,forecast_delta_kwh,373.57386207741183
L4T,4,5.0,forecast_delta_kwh,294.5017538004968
L4T,5,5.0,forecast_delta_kwh,520.3134038678763
L4T,6,5.0,forecast_delta_kwh,236.7511149933489
L4T,7,5.0,forecast_delta_kwh,113.77842419447552
L4T,8,5.0,forecast_delta_kwh,94.26388753239007
L4T,9,5.0,forecast_delta_kwh,201.59192274344605
